AD ID,Contact,For Rent By,URL,Ad Name,Map Link,Date Posted,Unit Type,Bedrooms,Bathrooms,Featured,Rent,Description,Utilities included,Photos,Wi-Fi and More,Parking Included,Agreement Type,Move-In Date,Pet Friendly,Size (sqft),Furnished,Appliances,Air Conditioning,Personal Outdoor Space,Smoking Permitted,Amenities,Elevator Accessibility Features,Barrier-free Entrances and Ramps,Visual Aids,Accessible Washrooms in Suite
1578909948,https://www.kijiji.ca/o-profile/57081077/listings/1,Owner,https://www.kijiji.ca/v-apartments-condos/richmond-bc/750-luxury-big-room-in-the-beautiful-garden-house-richmond/1578909948,$750 Luxury big room in the beautiful garden house(Richmond),"https://www.google.com/maps/search/No+4+road+and+Williams+road,,+Richmond+V7A+3E6+BC,+Canada","August 1, 2021 5:10 AM",House, 1, 1,No,$750,"We have beautiful furnished bedrooms available(queen size bed) in beautiful and super quiet LUXURY house in Richmond BC. Great location: Bus stop '401' in front of the door, Easy to reach Skytrain substation, Close to Highway and airplane close to all amenities, can walk to recreation center and shopping centers. Quiet area, No airplane noise area.Prefer professional male for long term renting. Include: WIFI, Water/ Electrical, Many free own Parking space, BBQ 24 hours kitchen’s use ; 24 hours own parking space.
Prefer professional male for long term renting.
Prefer professional male for long term renting.$750/m of separate washroom and $800/m of a private washroom.","Hydro
Heat
Water",Yes,Internet,1,1 Year,"August 1, 2021",No,120,Yes,Fridge / Freezer,No,Yard,Outdoors only,N/A,N/A,N/A,N/A,N/A
1581736491,https://www.kijiji.ca/o-profile/85187010/listings/1,Owner,https://www.kijiji.ca/v-apartments-condos/richmond-bc/nice-clean-new-2br-suite-close-terra-nova-in-richmond/1581736491,Nice & clean & new 2BR Suite (close Terra Nova in Richmond),"https://www.google.com/maps/search/,+Richmond+V7C1B7+BC,+Canada","August 20, 2021 5:48 AM",House, 2, 1,No,"$1,800","Located on Westminster Hwy @ Riverdale Dr, Richmond BC
Rent: $1800 per month all utilities inclusive (Hot & Cold Water, Electricity, Heating, Washer)
New Suite & Appliance
All furnished
Available: Oct. 1st
Amenities: All Utilities - Hot &Cold Water, Electricity, Gas floor heating, WiFi
Living room:1
Bedroom: 2
Bathrooms: 1
Kitchen: 1
Bar counter: 1
Features: Private entrance, 10’ Ceiling, Close to Dyke & Trail
Appliances: Stove range, Refrigerator, Washer, no dryer
Parking: yard parking
Pets Policy: Sorry, No Pets
*1 min. walk to Bus stops
*3 min. walk to Trail & Park, Elementary
*5 min. walk to shopping mall, gas station, restaurant
*Easy of approach KPU & UBC
*Quick access to Airport, Vancouver & Downtown
*Catchment in good High School
@Full kitchen with white appliances
@Spacious bathroom with cabinet space and bathtub
@Well-located and easy of access
Sorry, No smoking, pets, drugs and late night party
References Mandatory!
Suitable of clean and quite non-smoking professional, couples or students
Please call or text to 236 nine eight nine one 181","Hydro
Heat
Water",Yes,Internet,1,Month-to-month,"October 1, 2021",No,650,Yes,"Laundry (In Unit)
Fridge / Freezer",Yes,Yard,No,N/A,N/A,N/A,N/A,N/A
1544035754,https://www.kijiji.ca/o-profile/1001458356/listings/1,Owner,https://www.kijiji.ca/v-apartments-condos/richmond-bc/1-bedroom-high-rise-condo-available-now-richmond-centre/1544035754,1 Bedroom High-rise Condo – Available Now (Richmond Centre),"https://www.google.com/maps/search/7380+Elmbridge+Way,+Richmond,+BC+V6X+4A1,+Canada","July 27, 2021 8:51 PM",Condo, 1, 1,No,"$1,800","Say hello to a gorgeous, mint, and cozy 607 sqft. unfurnished 1 BR / 1 Bath suite at The Residences by Bosa. Centrally located at steps from Richmond Centre, Skytrain Brighhouse station, Minoru Park, and Public Library, though it’s in a quiet neighborhood. You’re only 20 min from Downtown Vancouver / 10 min to YVR! Step in the door and the suite welcomes you with a tastefully renovated scheme:
- Elegant engineering hardwood flooring throughout
- Kitchen Aid stainless steel appliances
- Silestone quartz countertops
- Breakfast bar
- Kitchen backsplash
- Double sink and faucet
- In-suite laundry with Bosch washer and dryer
- California Closets
- High-end light fixtures
- Window coverings
- Fresh paint with designer colors and latest finishes throughout
If you are too tired, take a visit to the entertaining sized 290 square ft. patio off the living room with your own private gate, and enjoy a relaxing afternoon surrounded by flowers!
Other nice features including:
- Key Fob secured complex
- 1 Secure parking stall
- Storage locker
- Exercise Centre
- Recreation Centre
- Sauna
- Beautifully manicured “Sky Garden”
- On-site manager
- Professionally managed by FirstServcie Residential (www.fsresidential.com)
Minimum ONE year lease, $1800/mo, half month deposit required. Rent includes hot water. Hydro / internet / TV cable / telephone / content insurance / move-in fees as per strata bylaws are extra. Absolutely NO smoking / pets / subletting. Maximum 2 tenants. Credit check, reference check, and criminal background check required.
We welcome you to come to view this suite, you’ll love it!
To view, please reply with your contact phone # or,
text Chris @ 778-882-7035. Thank you.","Heat
Water",Yes,Not Included,1,1 Year,"August 1, 2021",No,607,No,"Laundry (In Unit)
Dishwasher
Fridge / Freezer",No,Yard,No,"Gym
24 Hour Security
Storage Space
Elevator in Building",Wheelchair accessible,Yes,No,Yes
1576969535,https://www.kijiji.ca/o-profile/51691154/listings/1,Owner,https://www.kijiji.ca/v-apartments-condos/richmond-bc/2-bedroom-fully-renovated-basement-suite-for-rent-in-mcnair-rmd/1576969535,"2 Bedroom FULLY RENOVATED BASEMENT SUITE FOR RENT IN McNAIR, RMD","https://www.google.com/maps/search/9300+Algoma+Drive,+V7A+3P7,+Richmond,+BC","July 18, 2021 11:00 PM",Basement, 2, 1,No,"$1,700","2 BEDROOM FULLY RENOVATED BASEMENT SUITE FOR RENT in McNair area in Richmond.
- in a very Quiet neighborhood
- Very clean with full bath with soaking bath tub
- nice kitchen area
- in-suite laundry
- with it's own separate entry
- with it's own security alarm system
- with street parking
- A beautiful house with great looking front yard and back yard.
- Walking distance to Elementary and Secondary School
- Bus stop is near by and it has lots of other amenities to offer
- Ironwood mall and Richmond Center is only 5 to 7 minutes drive
- SMALL PET IS OK.
- NO SMOKING
$1,700 rent per month plus utilities
Please contact: Kashmir Hayer at 604-720-7400
REFERENCES MUST.",Water,Yes,Not Included,1,1 Year,"August 16, 2021",Limited,800,No,Laundry (In Unit),No,Yard,No,N/A,N/A,N/A,N/A,N/A
1574295900,https://www.kijiji.ca/o-carlton-park-gardens-apartments/1005707920/listings/1?referral=organic,Professional,https://www.kijiji.ca/v-apartments-condos/richmond-bc/1-bdrm-available-at-10951-mortfield-road-richmond/1574295900,"1 Bdrm available at 10951 Mortfield Road, Richmond","https://www.google.com/maps/search/10951+Mortfield+Road,+Richmond,+BC,+V7A+2W1","August 30, 2021 12:08 AM",Apartment, 1, 1,No,"$1,510","Visit our Website: https://www.caprent.com/apartments-for-rent/richmond-bc/carlton-park-gardens/
 
Six charming low-rise buildingsin the heart of residential Richmond form the setting for Carlton Park GardensApartments. These apartmentsfor rent in Richmond, located south of downtown Vancouver, is close tothe Steveston Highway and other major commuter routes. Beautifully landscapedgrounds and a quiet setting with wonderful views makes this the perfectcommunity for your next home.
Residents of these prime Richmondapartment rentals enjoy large cable ready suites, private balconies and patios, 3appliances in their apartment as well as building features like outdoor pooland indoor sauna, exercise room, BBQ area, and resident party room.
Living at Carlton Park Gardensputs you only 10 minutes to Vancouver Airport, 25 minutes from the US borderand a short commute to Richmond’s many shops, schools, and entertainment.  Contact us today about making Carlton ParkGardens your next apartment home. 
Parking from: $25.00
 
What's included in your rent
Water, Heat
Have Questions? Contact the Property Manager: (604) 275-2664
 
Building Features
Cable ready, large suites
Private balconies and patios
3 appliances - fridge, stove and dishwasher
Bathroom storage & big mirrors
Outdoor pool and indoor sauna
Exercise room
Resident party room
BBQ area
Laundry facilities on each floor
Canada Post parcel lockers available
 
Neighbourhood Features
Just 10 minutes to Vancouver Airport and 25 minutes to theUS border.
A 5 minute drive to Hugh Mcroberts Secondary School.
Close to South Arm Community Centre and 5 minutes toBroadmoor Shopping Centre.
Situated in a quiet residential neighbourhood.",N/A,Yes,Not Included,0,1 Year,"September 1, 2021",Yes,Not Available,No,Not Included,No,Not Included,No,Not Included,N/A,N/A,N/A,N/A
1574841988,https://www.kijiji.ca/o-profile/1007906225/listings/1,Owner,https://www.kijiji.ca/v-apartments-condos/richmond-bc/richmond-2-br-condo-for-rento/1574841988,Richmond 2 BR condo for Rento,"https://www.google.com/maps/search/V6X3G4,+Canada","July 4, 2021 9:57 PM",Condo, 2 + Den, 1,No,"$1,850","Richmond 2 BR + ( a mid size room) storage for Rent
(Available 1 Dec.,2021)
Side to Kwantlin University facing Lansdowne Mall, 2 BR + full bathroom + 1 medium size storage room, total 85 sq.meter (850 sq.ft), + Balcony with patio doors. Bedrooms and living room facing south. Comes with simple furniture includes a coach + coffee table, dinning table with 4 chairs, + fridge, stove, and dishwasher appliances.
The unit is located at the corner of the building, only one side neighboured. Nice, clean, quiet environment. Convenient transportation with buses and sky train within 5 minutes walking distances including all amenities stores around, such as Lansdowne Mall, T&T, Walmart, etc other stores.
Only those people are seriously interested, please phone 403 690 9028 for details.","Heat
Water",Yes,Not Included,1,1 Year,"August 1, 2021",No,850,No,"Laundry (In Building)
Dishwasher
Fridge / Freezer",No,Balcony,Outdoors only,"24 Hour Security
Bicycle Parking
Storage Space
Elevator in Building","Wheelchair accessible
Braille Labels",Yes,No,Yes
1582766434,https://www.kijiji.ca/o-profile/1021023134/listings/1,Owner,https://www.kijiji.ca/v-apartments-condos/richmond-bc/1800-1-bed-1-bath-1-den-619sf-mid-high-apartment/1582766434,$1800/1 bed*1 Bath* 1 Den-619sf mid-high apartment,"https://www.google.com/maps/search/9099+Cook+Rd,+Richmond,+BC+V6Y+4J7,+Canada","August 27, 2021 4:48 AM",Apartment, 1 + Den, 1,No,"$1,800","$1800/1 bed*1 Bath* 1 Den-619sf mid-high apartment
(3 minute drive to Kwantlan University)
Spacious Bright and east sunrise view
1 Bed/1 Bath/1 Den Condo-CAD 1800.00/month
9099 Cook Rd, Richmond BC V6Y 4J7
FEATURES:
1 Bedrooms, 1 Bathroom, 1 Den, balcony.
Square Footage: 619 square feet
Parking Spaces: 1 underground parking stall
Pets Allowed: No Pet
Agent Name: Willis (text only 604-771-2630 )
Rental Unit Amenities:
Refrigerator, Micro-wave, Cooker, Oven, Sink, Range Hood, Dish Washer, Washing machine, Dryer, closets, glass door, Balcony
Building Amenities:
Fitting room, Party room, 2 elevators, Telecom system, Bike room, Concierge
Spacious Bright, 3 minute drive to Kwantlan University, 4 minutes walk to Garden City park. 1 bedroom, 1 bathroom, 1 Den. You’ll love the 66 sq.ft balcony East sunrise.",Water,Yes,Not Included,1,1 Year,"October 1, 2021",No,619,No,"Laundry (In Unit)
Dishwasher
Fridge / Freezer",Yes,Balcony,No,"Gym
Concierge
24 Hour Security
Elevator in Building",N/A,N/A,N/A,N/A
1580684316,https://www.kijiji.ca/o-profile/1020969938/listings/1,Owner,https://www.kijiji.ca/v-apartments-condos/richmond-bc/richmond-centre-1-bedroom-condo-with-a-c-for-rent/1580684316,Richmond Centre 1 Bedroom Condo with A/C for Rent,"https://www.google.com/maps/search/7371+Westminster+Hwy,+Richmond,+BC+V6X+0B4,+Canada","August 13, 2021 12:38 AM",Condo, 1, 1,No,"$1,950","Richmond Centre 1 bedroom 1 bath condo for rent!
Pet friendly, A/C, 7 mins walking distance to Richmond Centre/Skytrain
Conveniently located on Alderbridge Way & Westminster Hwy.
______________________
Property Details:
• Bedroom: 1
• Bathroom: 1
• Living room: 1
• Sqft: 600
• Flooring: wood
• Gas Stove and oven
• Fridge and Freezer
• Washer and Dryer
• Heating & Cooling: A/C
• Parking: gated parking
• Storage locker: 1
______________________
Rental Details:
• Rent: $1950/month
• Availability: Aug 15ht, 2021
• Pets: YES!
• Smoke: No
• Utilities: not included
• Term: Minimum 1 year
______________________
• Credit and reference checks are required
• Tenant insurance required",Water,Yes,Not Included,1,1 Year,"August 15, 2021",Yes,600,No,"Laundry (In Unit)
Dishwasher
Fridge / Freezer",Yes,Balcony,No,"Gym
Pool
Bicycle Parking
Storage Space
Elevator in Building",N/A,N/A,N/A,N/A
1575230214,https://www.kijiji.ca/o-profile/1000640257/listings/1,Owner,https://www.kijiji.ca/v-apartments-condos/richmond-bc/house-for-rent-in-brampton/1575230214,House For Rent in Brampton,"https://www.google.com/maps/search/53+Mikado+Crescent,+Brampton,+ON+L6S+3R5,+Canada","July 7, 2021 1:54 PM",House, 4, 2.5,No,"$2,600","Very Clean 2500 Sq Ft 4 Bedroom Detached Home, 2.5 Bathrooms, 3+ Parking Spots. Very Quiet Family-Oriented Neighbourhood. Fridge, Stove, Dishwasher, Washer, Dryer are Included.
• Very Well Maintained House
• Backyard with Deck
• 2 Car on Driveway
• Central Air Conditioning Included
• Walking Distance to Schools, Shopping, Park, Transit and 5 Minutes to Hospital and Highway 410
No Smoking Inside the Houses
No basement
Available From Aug 1st
$ 2600+ Utilities
First and Last Months Rent Deposit Required
Please Provide Recent Pay Stubs, Job Letter, Credit Report, two pieces of id and References
Call / Text
416 871 0571",N/A,No,Not Included,3+,1 Year,"August 1, 2021",Limited,"2,500",No,"Laundry (In Unit)
Laundry (In Building)
Dishwasher
Fridge / Freezer",Yes,Yard,Outdoors only,N/A,N/A,N/A,N/A,N/A
1581205374,https://www.kijiji.ca/o-profile/1001924228/listings/1,Owner,https://www.kijiji.ca/v-apartments-condos/richmond-bc/1-bdrm-fully-furnished-condo-in-avanti/1581205374,1 bdrm fully furnished condo in Avanti,"https://www.google.com/maps/search/3333+Brown+Rd,+Richmond,+BC+V6X+1J8,+Canada","August 16, 2021 6:15 PM",Condo, 1, 1,No,"$1,700",fully furnished apartment near all amenities perfect for 1 person,N/A,Yes,Not Included,1,1 Year,"September 15, 2021",No,570,Yes,"Laundry (In Unit)
Dishwasher
Fridge / Freezer",Yes,Balcony,No,"Pool
Elevator in Building",N/A,N/A,N/A,N/A
